Başlık,Yayınevi,Yazar,İndirimsiz Fiyat (TL),İndirimli Fiyat (TL),İndirim Oranı (%),Puanlama (5 üzerinden)
Dicle’den Yükselen Feryat Hallac-ı Mansur,İnsan Yayınları,Ahmet Çelik,240.00,168.00,Yok,0.0
Suçlu-Sokakların Çocuğu 2 Kitap Bir Arada,Everest Yayınları,Orhan Kemal,575.00,373.75,Yok,0.0
Tut Ki Yalandı,Odessa Yayınevi,Nesil Güzel,270.00,210.60,Yok,0.0
Baş Saatler Orkestrası,Luna Yayınları,Hürcan Akgün,134.00,104.52,Yok,0.0
Reyhan,Mona Kitap,Hayri Kandemir,175.00,113.75,Yok,0.0
Gördün Mü Turnam,Luna Yayınları,Döndü Haydaroğlu,299.00,233.22,Yok,0.0
Unutulmaz Bir Yaz,Sonsuz Kitap Yayınları,Marilyn Pappano,300.00,150.00,Yok,0.0
Hayatımın Şansı,Sonsuz Kitap Yayınları,Marilyn Pappano,300.00,150.00,Yok,0.0
Dilden Dökülenler,Luna Yayınları,Adem Ali Kömürcü,164.00,127.92,Yok,0.0
Erzuruma Yolculuk,Dara Yayınları,Aleksandr Sergeyeviç Puşkin,180.00,122.40,Yok,0.0
Klasik Türk Edebiyatı Araştırma Yöntemleri,Eser Kitap,Selami Ece,1.250.00,850.00,Yok,0.0
Sonsuzu Bölen Bir,Lando Yayınları,Mustafa Erdiken,200.00,136.00,Yok,0.0
Bu-This,Lando Yayınları,Nihat Özdal,260.00,176.80,Yok,0.0
2025’de Çıkan Her Hangi Bir Kitap,Lando Yayınları,Umut Yalım,200.00,136.00,Yok,0.0
Yedinci Günün Esrarı,Lando Yayınları,Tekin Yaman,200.00,136.00,Yok,0.0
Kaspar,Na Yayınları,Peter Handke,250.00,195.00,Yok,0.0
Conatus’un Cebi,Lando Yayınları,Sercan Kerinç,260.00,176.80,Yok,0.0
Bir Haziran Sabahı,Lando Yayınları,Engin Topuz,240.00,163.20,Yok,0.0
Landayi,Na Yayınları,Kolektif,250.00,195.00,Yok,0.0
Katilin Güncesi,Ulysses Yayınları,Kevser Deveci,190.00,148.20,Yok,0.0
Çoban Yıldızı,Elips Kitap,Mahmut Yesari,440.00,299.20,Yok,0.0
Dört Çeyrek 1,Ephesus Yayınları,Azra İzgüner,389.00,252.85,Yok,0.0
PostKolonyal Edebiyatta Dini Kimlik,Eski Yeni Yayınları,Rızkan Tok,300.00,225.00,Yok,0.0
Dört Çeyrek 1 Hediyeli Kutu,Ephesus Yayınları,Azra İzgüner,519.00,337.35,Yok,0.0
Özgürlüğü Ararken,Nas Ajans Yayınları,Mahmut Karabag,300.00,300.00,Yok,0.0
Anu,Varyant Yayıncılık,Arzu Onay,350.00,273.00,Yok,0.0
Çeven Mishefe,Payiz Yayınları,Şenol Bali,185.00,185.00,Yok,0.0
Hesten Xali,Payiz Yayınları,Muqades Agiri,150.00,150.00,Yok,0.0
Siya Direj,Payiz Yayınları,Kadir Çelik,180.00,180.00,Yok,0.0
13 Sireke Hezar Sali,Payiz Yayınları,İkram Balekani,400.00,400.00,Yok,0.0
Sinoren Bederi,Payiz Yayınları,Necat Baysal,185.00,185.00,Yok,0.0
Yorgun Topraklar,Payiz Yayınları,Yusuf Baran Beyi,350.00,350.00,Yok,0.0
Mêşo,Payiz Yayınları,Çore Arda,200.00,200.00,Yok,0.0
Duygu Zaman Anlamsallığı,Payiz Yayınları,Kerem Çiftçioğlu,250.00,250.00,Yok,0.0
Toprağın Öptüğü Seher Kuşları -1,Payiz Yayınları,Yusuf Baran Beyi,185.00,185.00,Yok,0.0
Nevala Xeyalan,Payiz Yayınları,Sultan Yaray,180.00,180.00,Yok,0.0
Aynanın Uykusunda,Payiz Yayınları,İlhami Sidar,250.00,250.00,Yok,0.0
Çığlık rap-rapsodi,Lando Yayınları,Pelin Özer,180.00,122.40,Yok,0.0
Ali Zelili`nin Niyazü`l-Müznibin’i,Fenomen Yayıncılık,Nilay Kınay Civelek,600.00,498.00,Yok,0.0
Rus Halk Masallarında Mitolojik Kadınlar,Fenomen Yayıncılık,Ezgihan Mertoğlu Çakır,220.00,182.60,Yok,0.0
"Ekoloji Perspektifinden Kültür, Edebiyat ve Dil Çalışmaları",Fenomen Yayıncılık,Kollektif,300.00,249.00,Yok,0.0
Düşyokuş,Sarmal Kitabevi,Nurhan Özgel,150.00,117.00,Yok,0.0
Son Işık Da Söndü,Sarmal Kitabevi,Yaşar Onay,200.00,156.00,Yok,0.0
Fındıkkıran ve Farelerin Kralı,Sarmal Kitabevi,Ernst Theodor Wilhelm Hoffmann,400.00,312.00,Yok,0.0
Serapionun Hikayesi,Sarmal Kitabevi,Ernst Theodor Wilhelm Hoffmann,300.00,234.00,Yok,0.0
Aksakal Sokağı Yanıyor,Gece Kitaplığı,Hülya Bartu,161.00,96.60,Yok,0.0
Veri Mezarları,Gece Kitaplığı,Tolga Depci,231.00,138.60,Yok,0.0
Udi Alibey`in Şiirleri,Gece Kitaplığı,Ali Ersin Kavafoğlu,182.00,109.20,Yok,0.0
Mezarı Yoktu Çocukların,Ebabil Yayınları,Yunus Emre Altuntaş,100.00,78.00,Yok,0.0
Babam Ali Ulvi Kurucu,Erguvan Yayınevi,Sare Kurucu Bulut,180.00,122.40,Yok,0.0
Mor Menekşe Konağı,Değişim Yayınları,Özlem Artoksi,200.00,158.00,Yok,0.0
Düşlerle Dolu,Tilki Kitap,Arda Yılmaz,190.00,123.50,Yok,0.0
Sessiz Yolcu-Şiirler,Yuva Yayınları,Tacettin Akkuş,149.90,91.44,Yok,0.0
Sahan Külbastı,Elips Kitap,Memduh Şevket Esendal,280.00,190.40,Yok,0.0
Terapi Sensin,İkinci Adam Yayınları,Nursen Yeşim Özdemir,333.00,216.45,Yok,0.0
Yaprak Daha Düşmedi,İkinci Adam Yayınları,Serdar Dönertaş,250.00,162.50,Yok,0.0
Şaman,İkinci Adam Yayınları,Mehmet Canbaz,350.00,227.50,Yok,0.0
Yörük Gızı Silifke,Gülnar Yayınları,Esma Deveci,300.00,219.00,Yok,0.0
Harabat,İkinci Adam Yayınları,Fatih Diler,160.00,104.00,Yok,0.0
Etimolojik Sözlük Numunesi,Gülnar Yayınları,Bahaeddin Sağlam,390.00,284.70,Yok,0.0
Mandala,Sidelya Yayınları,Cafer Demirtaş,175.00,175.00,Yok,0.0
İnsan Sevmekle Temizlenir,Sidelya Yayınları,Metin Benlier,175.00,175.00,Yok,0.0
Naruto 57. Cilt,Gerekli Şeyler Yayıncılık,Masaşi Kişimoto,170.00,125.80,Yok,0.0
Çeşm-i Naz,Tilki Kitap,Ceylan Köse,145.00,94.25,Yok,0.0
İçimde Sana Benzeyen Bir Yer Var,Tilki Kitap,Afkan Topal,200.00,130.00,Yok,0.0
Erkam`ın İzinde,Beyan Yayınları,Erbay Kücet,265.00,172.25,Yok,0.0
Lanzarote Defterleri 2. Kitap,Kırmızı Kedi Yayınevi,Jose Saramago,350.00,210.00,Yok,0.0
Sherlock Holmes - On İki Macera Bir Arada,The Kitap Genç,Sir Arthur Conan Doyle,169.00,109.85,Yok,0.0
Blacksad 6 - O Zaman Her Şey Yıkılır Birinci Bölüm,Yapı Kredi Yayınları,Juan Diaz Canales,220.00,132.00,Yok,0.0
Z Bakış,Kırmızı Kedi Yayınevi,Esila Ayık,150.00,90.00,Yok,0.0
Sonsuzluk Odası,Presstij Kitap,Ümit Kireççi,220.00,154.00,Yok,0.0
The Whisperer,Mimas Yayınları,Erinç Büyükaşık,310.00,241.80,Yok,0.0
Geçmişten Geleceğe Medeniyetin Mimarları,İnkılap Kitabevi,Betül Düztepe,280.00,196.00,Yok,0.0
Türk Dünyası Çalışmaları,Paradigma Akademi Yayınları,Kolektif,500.00,400.00,Yok,0.0
The Wonderful Wizard of Oz,YDS Publishing,Lyman Frank Baum,180.00,158.40,Yok,0.0
Mai ve Siyah,Paradigma Akademi Yayınları,Halid Ziya Uşaklıgil,200.00,200.00,Yok,0.0
The Invisible Man B1 - Level 5,YDS Publishing,Herbert George Wells,210.00,184.80,Yok,0.0
The War Of The Worlds B2 - Level 6,YDS Publishing,Herbert George Wells,210.00,184.80,Yok,0.0
The Thirty-Nine Steps B1 - Level 4,YDS Publishing,John Buchan,180.00,158.40,Yok,0.0
Cranford B1 - Level 5,YDS Publishing,Elizabeth Cleghorn Gaskell,210.00,184.80,Yok,0.0
Aşk-ı Memnu,Paradigma Akademi Yayınları,Halid Ziya Uşaklıgil,250.00,250.00,Yok,0.0
Çetin Altan: Yazıya Adanmış Bir Hayat,Paradigma Akademi Yayınları,Fatma Şen Akdemir,900.00,720.00,Yok,0.0
Eylül,Paradigma Akademi Yayınları,Mehmet Rauf,180.00,180.00,Yok,0.0
Bali Bahru`n-Naṣayiḥ,Paradigma Akademi Yayınları,Dilek Herkmen,850.00,680.00,Yok,0.0
Ahmet Yurt Dede,Paradigma Akademi Yayınları,Muhammet Faruk Ekici,550.00,440.00,Yok,0.0
Kaybolan,Mimas Yayınları,Erinç Büyükaşık,400.00,312.00,Yok,0.0
Yaraların Belleği,Mimas Yayınları,Selman Büyükaşık,320.00,249.60,Yok,0.0
İnsan Hatırlandıkça Yaşar Cengiz Aytmatov Roza Aytmatova & Asan Ahmatov,Paradigma Akademi Yayınları,Kollektif,250.00,200.00,Yok,0.0
Ev Arkadaşım,Dokuz Yayınları,Gonca Çakır,300.00,150.00,Yok,0.0
Ev Arkadaşım,Dokuz Yayınları,Gonca Çakır,390.00,195.00,Yok,0.0
Sonrası Şiir,Mimas Yayınları,Aylin Yılmazer,290.00,226.20,Yok,0.0
Ev Arkadaşım Kutulu Set 3 Kitap,Dokuz Yayınları,Gonca Çakır,1.150.00,575.00,Yok,0.0
Min Navek Nedit Jı Bo Te,Payiz Yayınları,Mehmet Bulut,250.00,250.00,Yok,0.0
Azade,Mimas Yayınları,Erdal Keskin,320.00,249.60,Yok,0.0
Tuz Baskı,Mimas Yayınları,Esra Başak Yılmazer,400.00,312.00,Yok,0.0
Hızlı Okumanın Alfabesi,Doruk Yayınları,François Richaudeau,100.00,100.00,Yok,0.0
Spiroj,Payiz Yayınları,Nûdem hezex,200.00,200.00,Yok,0.0
Pexembere Jibirçuyi Mani,Payiz Yayınları,Kamran Simo Hedili,350.00,350.00,Yok,0.0
Gulçiçeka Dilan,Payiz Yayınları,Abdurrakip Yuksekbag,300.00,300.00,Yok,0.0
Diyariyen Şeve,Payiz Yayınları,İlhan Dayan,150.00,150.00,Yok,0.0
Qerineke Bedeng Rındexan,Payiz Yayınları,Kamran Simo Hedili,300.00,300.00,Yok,0.0
Ben Kendim Öteki,Payiz Yayınları,Leyla Atabay,325.00,325.00,Yok,0.0
Bir Kibritle Yok Olmak Serisi - Üç Kitaplık Hediyeli Kutu,Guardian,Özge Naz,1.327.00,796.20,Yok,0.0
Bir Kibritle Yok Olmak 3,Guardian,Özge Naz,399.00,239.40,Yok,0.0
Gönül Kaçanı Kovalar,Elips Kitap,Memduh Şevket Esendal,320.00,217.60,Yok,0.0
Bir Kibritle Yok Olmak 3,Guardian,Özge Naz,369.00,221.40,Yok,0.0
Bir Kibritle Yok Olmak 3 - Hediyeli Kutu,Guardian,Özge Naz,529.00,317.40,Yok,0.0
Bir Kibritle Yok Olmak 3 - Hediyeli Yan Boyamalı Kutu,Guardian,Özge Naz,609.00,365.40,Yok,0.0
Bir Kibritle Yok Olmak 3 - Yan Boyamalı,Guardian,Özge Naz,479.00,287.40,Yok,0.0
Zihin Bahçemde Üç Çayı,Lando Yayınları,Melis Demir,200.00,136.00,Yok,0.0
Kabul,Lando Yayınları,Berna Kahraman,200.00,136.00,Yok,0.0
Büyü Haritaları Pafta I.,Lando Yayınları,Nur Alan,190.00,129.20,Yok,0.0
En Genç,Lando Yayınları,Gültekin Emre,200.00,136.00,Yok,0.0
Requiem,Lando Yayınları,Enis Batur,220.00,149.60,Yok,0.0
Alegria,Lando Yayınları,Zehra Güngör,200.00,136.00,Yok,0.0
Tavşanlara Göz Kırpın,Lando Yayınları,Ercan Şeherli,200.00,136.00,Yok,0.0
İnsandan Sonra,Lando Yayınları,Selcan Peksan,200.00,136.00,Yok,0.0
Eksik,Lando Yayınları,Ayberk Köklü,180.00,122.40,Yok,0.0
Çingenenin Çiçekleri Taş,Lando Yayınları,Lara Lakay,175.00,119.00,Yok,0.0
Titreşir,Lando Yayınları,Anita Sezgener,140.00,95.20,Yok,0.0
İnkar,Lando Yayınları,Ceren Avşar,180.00,122.40,Yok,0.0
İdrakrizi,Lando Yayınları,İlke İmer,200.00,136.00,Yok,0.0
İçli Bir Piç epilog,Lando Yayınları,Dündar Hızal,175.00,119.00,Yok,0.0
Aşk,Lando Yayınları,Şenol Erdoğan,150.00,102.00,Yok,0.0
Kerker - Notizen,Minber Yayınları,Süleyman el Ulvan,250.00,170.00,Yok,0.0
Sıra Mutlulukta,Liman Yayınevi,Ahmet Canbaba,194.00,131.92,Yok,0.0
Loving You Is Like Touching Eternity,Nobel Kültür,Bilal Karabulut,190.00,148.20,Yok,0.0
Türkçede Eklerin Kullanılış Şekilleri ve Ek Kalıplaşması Olayları,Türk Dil Kurumu Yayınları,Zeynep Korkmaz,50.00,39.00,Yok,0.0
En Son Aralık,Liman Yayınevi,Caner Özkan,273.00,185.64,Yok,0.0
Cam Örtü,Meşe Kitaplığı,Helin Bağlamış,150.00,117.00,Yok,0.0
Kuduri`ye Ait El-Muhtasar`ın En Eski Türkçe Tercümesi,Türk Dil Kurumu Yayınları,Cihan Doğan,600.00,468.00,Yok,0.0
Koca Bir Ah Var İçimde!,Gece Kitaplığı,Murat Kapkıner,161.00,96.60,Yok,0.0
Karanlık,Gece Kitaplığı,Mehmet Kösanoğlu,119.00,71.40,Yok,0.0
Dövüş Tanrısı 5,Athica Yayınları,Yong-Je Park,440.00,330.00,Yok,0.0
Doksan Artı Dört 1,Athica Yayınları,Gülben Sakar,540.00,405.00,Yok,0.0
İki Dünya Arasında,Cinius Yayınları,Doğan Özkan,410.00,266.50,Yok,0.0
Ayaza Direnen Kardelenler,Bilgi Ağacı Yayınları,Tuba Dumlu Güler,279.00,203.67,Yok,0.0
Doksan Artı Dört 2,Athica Yayınları,Gülben Sakar,520.00,390.00,Yok,0.0
Aybike,Bilgi Ağacı Yayınları,Ebruli,223.00,162.79,Yok,0.0
Kıvılcım,Nox Yayınları,Adriana Locke,300.00,150.00,Yok,0.0
Bilinmeyene Yolculuk - 1,İkinci Adam Yayınları,Seniha Fidan,210.00,136.50,Yok,0.0
Logosophia,İkinci Adam Yayınları,Murat Can Yılmaz,235.00,152.75,Yok,0.0
Yaşama Dair İçimdeki Ses,İkinci Adam Yayınları,Kunçay Dağdeviren Demir,250.00,162.50,Yok,0.0
Ayaz Kokan Kent,İkinci Adam Yayınları,Özer Avanaş,180.00,117.00,Yok,0.0
Dolunaylı Gecelerden Geçiyorum,İkinci Adam Yayınları,İbrahim Güler,130.00,84.50,Yok,0.0
Bugün Bu gece Yarın,Yabancı Yayınları,Rachel Lynn Solomon,300.00,180.00,Yok,0.0
Said Gel! Bir Rüyanın İzinde,Fütuhat Yayınevi,Nurettin Beltekin,100.00,68.00,Yok,0.0
Doksan Artı Dört 1-2 Kutulu Set,Athica Yayınları,Gülben Sakar,1.150.00,862.50,Yok,0.0
İki Yürek Arasında,İkinci Adam Yayınları,Büşra İreç,200.00,130.00,Yok,0.0
Arif Nihat Asya,Türk Dil Kurumu Yayınları,Yavuz Bülent Bakiler,280.00,218.40,Yok,0.0
Cahit Külebi,Türk Dil Kurumu Yayınları,Mehmet Yardımcı,120.00,93.60,Yok,0.0
Palmiye Şarabı Müptelası,İthaki Yayınları,Amos Tutuola,180.00,108.00,Yok,0.0
Savaştan Kalan Barışta Geçen Hikayeler,Paşa Yayınları,Zöhre Bozdemir,350.00,255.50,Yok,0.0
Kepir Ana,İkinci Adam Yayınları,Atalay Budakçı,150.00,97.50,Yok,0.0
Zaman Kimseyi Beklemez,Narsist,Seval Kirmit Yazar,300.00,204.00,Yok,0.0
İletişim Köprüsü,Narsist,Seval Kirmit Yazar,400.00,272.00,Yok,0.0
Alfred Hunstan Senfonisi,Alden Yayınları,Tufan Efe Hökkaş,200.00,200.00,Yok,0.0
İngiliz Matematikçiler,Doruk Yayınları,Ali Dönmez,770.00,562.10,Yok,0.0
Denizde Bir Sene,Renpa Kitap,Murat Fırtına,450.00,351.00,Yok,0.0
Mendil Altında,Elips Kitap,Memduh Şevket Esendal,320.00,217.60,Yok,0.0
Ahular Meydanı,Edebiyatist,Elif Ceren Pehlivan,240.00,175.20,Yok,0.0
Hayalet Orkide: Sinemaların Kızı,Edebiyatist,Esra Tüzün,440.00,321.20,Yok,0.0
Babasının Kızları,Doğan Solibri,Fatma Çelik,260.00,182.00,Yok,0.0
Pamuk Ağacı Tohumu,Pozitif Yayınları,Dennis Ayan,200.00,152.00,Yok,0.0
Prof. Dr. Oktay Sinanoğlu ve Türkçe - Matematik - Bilim - Gönül,Altınordu Yayınları,Turgay Tüfekçioğlu,390.00,284.70,Yok,0.0
Werzeba,Payiz Yayınları,Leyla Saraç,150.00,150.00,Yok,0.0
Reqsa Perperikan,Payiz Yayınları,Herdem Merwani,150.00,150.00,Yok,0.0
Çemberi Kıran,Everest Yayınları,Esmahan Devran İnci,245.00,159.25,Yok,0.0
Denge Ze,Payiz Yayınları,Mehmet Akdoğan,350.00,350.00,Yok,0.0
Türk Dili Alanında Uluslararası Araştırmalar - II,Eğitim Yayınevi - Bilimsel Eserler,Ahmet Kayasandık,179.00,157.52,Yok,0.0
İris,Kaktüs Sanat,Özge Özpağaç,120.00,81.60,Yok,0.0
The Rover and Other Plays,Oxford University Press - Classics,Aphra Behn,490.00,490.00,Yok,0.0
Bilur u Teşi,Na Yayınları,Newaf Mîro,250.00,195.00,Yok,0.0
Göçmenler,Yazılama Yayınevi,Aleksey Nikolayeviç Tolstoy,380.00,258.40,Yok,0.0
Sen Gittiğinde,Kitapresso Yayınevi,Mustafa Altuğ,500.00,340.00,Yok,0.0
Sıfır K,Siren Yayınları,Don DeLillo,290.00,217.50,Yok,0.0
Ekmek Kokusu,Baygenç Yayıncılık,Ali Ekber Beyaz,300.00,204.00,Yok,0.0
Rövaşata Arda,Bordo Ressam,Murat Sevinç,178.00,135.28,Yok,0.0
Devrim Aşk ve Ahlak,Payda Yayıncılık,Şeref Pınarbaşı,250.00,170.00,Yok,0.0
Şahruh Efsanesi,Atakar Yayıncılık,Bülent Demirbilek,150.00,150.00,Yok,0.0
Ukde,40 Kitap,Bekir Er,320.00,217.60,Yok,0.0
Ay Kocaman Gece Uzundu,Meşe Kitaplığı,Latife Doğanay Çağlayan,250.00,195.00,Yok,0.0
100 Soruda Önyargı,Kaktüs Sanat,Abuzer Badem,300.00,204.00,Yok,0.0
100 Soruda Kaygı,Kaktüs Sanat,Abuzer Badem,300.00,204.00,Yok,0.0
Geçmişle Dans,Kaktüs Sanat,Deniz Derya,280.00,190.40,Yok,0.0
Jeremy’nin Uzay Macerası - Karanlıkla Savaş,MCK Yayınları,İsmail Yavuz,200.00,200.00,Yok,0.0
Nureddîn Zengi - Bir Kudüs Aşığı,MCK Yayınları,Mustafa Cankurt,180.00,180.00,Yok,0.0
Kuyruklu Yıldız Altında Bir İzdivaç,Sierra Kitap,Hüseyin Rahmi Gürpınar,140.00,95.20,Yok,0.0
Serkan,Yağmur Osman Yayınları,Şahika Yeşilkaya,280.00,190.40,Yok,0.0
Hakka Sığındık,Sierra Kitap,Hüseyin Rahmi Gürpınar,130.00,88.40,Yok,0.0
Şık,Sierra Kitap,Hüseyin Rahmi Gürpınar,120.00,81.60,Yok,0.0
Sevda Peşinde,Sierra Kitap,Hüseyin Rahmi Gürpınar,200.00,136.00,Yok,0.0
Fantastik Dörtlü Cilt.6,Arka Bahçe Yayıncılık,Jonathan Hickman,380.00,258.40,Yok,0.0
Arayış,Ange Yayınları,Didem Tanrıkulu,400.00,272.00,Yok,0.0
Gönül Ticareti,Sierra Kitap,Hüseyin Rahmi Gürpınar,130.00,88.40,Yok,0.0
Hayatı Şiirleri Hikâyeleri II,Gülnar Yayınları,İbrahim Bozkurt,300.00,219.00,Yok,0.0
Mürebbiye,Sierra Kitap,Hüseyin Rahmi Gürpınar,140.00,95.20,Yok,0.0
Gulyabani,Sierra Kitap,Hüseyin Rahmi Gürpınar,140.00,95.20,Yok,0.0
Umuda Yolculuk,İtalik Yayınevi,Özgür Özsoy,450.00,306.00,Yok,0.0
Acayipzadeler,Klaros Yayınları,Rüveyda,300.00,204.00,Yok,0.0
Elke,Klaros Yayınları,Hanım Koçyiğit,400.00,272.00,Yok,0.0
Verdek,Klaros Yayınları,Hanım Koçyiğit,350.00,238.00,Yok,0.0
Otobiyografi,Vakıfbank Kültür Yayınları,Linda Anderson,290.00,203.00,Yok,0.0
Semaver,Palet Yayınları,Sait Faik Abasıyanık,100.00,65.00,Yok,0.0
Benim Adım Yalnızlık Soyadım Sensizliktir,Evrensel Kültür Yayınları,Süleyman Yıldırım,250.00,170.00,Yok,0.0
Sevgi Fakiri,Evrensel Kültür Yayınları,Doğan Coşkun,290.00,197.20,Yok,0.0
Uykuya Susuz,Evrensel Kültür Yayınları,Gülşah Yüksel,350.00,238.00,Yok,0.0
Martin Mystere Sayı 244,Lal Kitap,Mirko Perniola,135.00,98.55,Yok,0.0
Zagor Sayı 275,Lal Kitap,Samuel Marolla,135.00,98.55,Yok,0.0
Zagor Klasik Maceralar Cilt 142,Lal Kitap,Mirko Perniola,500.00,365.00,Yok,0.0
Yaşamak Umrumdadır,Evrensel Kültür Yayınları,Ali Filiz,270.00,183.60,Yok,0.0
Gava Jin Li Jiyane Neman,Na Yayınları,Newaf Miro,200.00,156.00,Yok,0.0
Ezİdaye 1,Na Yayınları,Newaf Mîro,250.00,195.00,Yok,0.0
Tex Willer Sayı 28,Lal Kitap,Mauro Boselli,90.00,65.70,Yok,0.0
Melamilerde Adem’den Havva’nın Yaratılış Sırrı,Atakar Yayıncılık,Ali Yılmaz,200.00,200.00,Yok,0.0
Tex sayı 11,Lal Kitap,Pasquale Ruju,150.00,109.50,Yok,0.0
Ezidaye 2,Na Yayınları,Newaf Mîro,250.00,195.00,Yok,0.0
Melami Sofrası,Atakar Yayıncılık,Bülent Demirbilek,125.00,125.00,Yok,0.0
Ezidaye 3,Na Yayınları,Newaf Mîro,250.00,195.00,Yok,0.0
Du Kes Yek Mirov,Na Yayınları,Newaf Mîro,200.00,156.00,Yok,0.0
İnsanlığın Aşkı,Sinada Kitap,Erkan Bozkurt,160.00,104.00,Yok,0.0
G-izlerim,Atakar Yayıncılık,Temel Ata,200.00,200.00,Yok,0.0
Elzem,Atakar Yayıncılık,Aziz Soylu,175.00,175.00,Yok,0.0
Çakıl Taşlarım,Atakar Yayıncılık,Resmiye Yılmaz,175.00,175.00,Yok,0.0
Eylül,Atakar Yayıncılık,Güldane Gümüş,200.00,200.00,Yok,0.0
Gava Miri Biaxive,Na Yayınları,Newaf Miro,300.00,234.00,Yok,0.0
Denizin Hücumu,Elips Kitap,Jules Verne,240.00,163.20,Yok,0.0
Bahar Sonsuz Değil Ki,Kırmızı Çatı Yayınları,İsmail Güçtaş,165.00,128.70,Yok,0.0
Hayattan Yansımalar,Kırmızı Çatı Yayınları,Mustafa Yıldız,205.00,159.90,Yok,0.0
Kırgın Bir Gezgin,Ayrıkotu Yayınları,Özlem Yıldırım,110.00,80.30,Yok,0.0
Yola Düşünce,Hangar Yayınları,Kollektif,450.00,283.50,Yok,0.0
Şimal,Anima Yayınları,İsmail Taşdelen,120.00,93.60,Yok,0.0
Çoğunluğun İradesi,Akıl Çelen Kitaplar,James Islington,520.00,358.80,Yok,0.0
Lolikper,Nas Ajans Yayınları,Feyza Adabeyi,100.00,100.00,Yok,0.0
Kanla Yazılı Kader,Martı Yayınları,Danielle L. Jensen,450.00,225.00,Yok,0.0
Talay,İstanbul Dağıtım,Gülcihan Bilim Demirci,250.00,250.00,Yok,0.0
Suçlu,Metinlerarası Kitap,Yeşim Çelik,330.00,240.90,Yok,0.0
Nasıl Yattıysam Öyle Kalkmadım,Metinlerarası Kitap,Nihan Özkan,160.00,116.80,Yok,0.0
Yüreğin Kozmik Dansı,Baygenç Yayıncılık,Cansu Sevindik,180.00,122.40,Yok,0.0
Yolcu,Baygenç Yayıncılık,Letafet Amirova,250.00,170.00,Yok,0.0
Sözler Dansı Özbek Kızlarının Yaratıcı Çalışmaları,Baygenç Yayıncılık,Kolektif,300.00,204.00,Yok,0.0
Aşk Kokusu,Baygenç Yayıncılık,İnobat Ochilova,150.00,102.00,Yok,0.0
Yalnızlığın Senfonisi,Çınaraltı Yayınları,Çağlar Dalkıran,180.00,122.40,Yok,0.0
Gemileri Yakmak,Yazılama Yayınevi,Yusuf Ziya Bahadınlı,220.00,149.60,Yok,0.0
Yakılacak Mektuplar,Gülnar Yayınları,Mehmet Taş,220.00,160.60,Yok,0.0
Damladaki Derya,Gülnar Yayınları,Cemalettin Turan,280.00,204.40,Yok,0.0
